Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# contigs (>= 1000 bp)	293	46	187	202
# contigs (>= 5000 bp)	42	12	9	41
# contigs (>= 10000 bp)	21	6	0	17
# contigs (>= 25000 bp)	8	4	0	8
# contigs (>= 50000 bp)	0	1	0	3
Total length (>= 1000 bp)	1104673	286072	410198	1084402
Total length (>= 5000 bp)	598213	227109	65002	762053
Total length (>= 10000 bp)	451205	184422	0	601035
Total length (>= 25000 bp)	273587	152469	0	469413
Total length (>= 50000 bp)	0	53450	0	298762
# contigs	541	110	480	357
Largest contig	44433	53450	9065	162985
Total length	1287925	328857	611581	1191257
Reference length	5622644	5622644	5622644	5622644
GC (%)	42.01	43.10	41.05	41.78
Reference GC (%)	42.33	42.33	42.33	42.33
N50	4318	17932	1559	10706
N75	1609	2616	847	2560
L50	52	5	102	17
L75	184	18	239	78
# misassemblies	8	2	0	6
# misassembled contigs	7	2	0	5
Misassembled contigs length	92801	90178	0	189136
# local misassemblies	3	23	136	4
# structural variations	0	0	0	0
# unaligned contigs	0 + 28 part	0 + 6 part	0 + 17 part	0 + 42 part
Unaligned length	94570	29511	6715	210254
Genome fraction (%)	20.601	4.703	10.583	16.908
Duplication ratio	1.030	1.132	1.016	1.032
# N's per 100 kbp	111.81	1150.04	1163.54	335.61
# mismatches per 100 kbp	1082.41	1865.37	967.64	1327.61
# indels per 100 kbp	39.45	46.13	14.96	51.86
Largest alignment	39202	28223	9065	51687
NA50	2887	3925	1516	3584
NGA50	-	-	-	-
NA75	1056	660	800	706
LA50	85	13	104	59
LA75	275	80	248	262
