marine_gamma_proteobacterium_HTCC2080_gi_119503701_ref_NZ_	NODE_19_length_258881_cov_118.817_ID_37	NODE_19_length_258881_cov_118.817_ID_37	NODE_170_length_49897_cov_117.767_ID_339
marine_gamma_proteobacterium_HTCC2080_gi_119505171_ref_NZ_	NODE_123_length_66923_cov_119.914_ID_245	NODE_123_length_66923_cov_119.914_ID_245	NODE_188_length_47184_cov_121.943_ID_375	NODE_188_length_47184_cov_121.943_ID_375	NODE_475_length_23688_cov_118.769_ID_949	NODE_7954_length_1339_cov_157.576_ID_15907
marine_gamma_proteobacterium_HTCC2080_gi_119504206_ref_NZ_	NODE_8_length_309681_cov_119.311_ID_15	NODE_8_length_309681_cov_119.311_ID_15	NODE_8_length_309681_cov_119.311_ID_15
marine_gamma_proteobacterium_HTCC2080_gi_119505479_ref_NZ_	NODE_76_length_97470_cov_118.438_ID_151
marine_gamma_proteobacterium_HTCC2080_gi_119505899_ref_NZ_	NODE_2634_length_4211_cov_120.283_ID_5267
marine_gamma_proteobacterium_HTCC2080_gi_119505707_ref_NZ_	NODE_219_length_42357_cov_118.56_ID_437
marine_gamma_proteobacterium_HTCC2080_gi_119504692_ref_NZ_	NODE_24_length_207146_cov_118.733_ID_47
marine_gamma_proteobacterium_HTCC2080_gi_119504867_ref_NZ_	NODE_33_length_173249_cov_118.91_ID_65
marine_gamma_proteobacterium_HTCC2080_gi_119505906_ref_NZ_	NODE_3638_length_3040_cov_119.011_ID_7275
marine_gamma_proteobacterium_HTCC2080_gi_119505302_ref_NZ_	NODE_56_length_131675_cov_118.629_ID_111
marine_gamma_proteobacterium_HTCC2080_gi_119505645_ref_NZ_	NODE_133_length_61022_cov_118.526_ID_265
marine_gamma_proteobacterium_HTCC2080_gi_119505407_ref_NZ_	NODE_86_length_87967_cov_118.945_ID_171	NODE_1462_length_7657_cov_117.394_ID_2923
marine_gamma_proteobacterium_HTCC2080_gi_119505909_ref_NZ_	NODE_9205_length_1139_cov_119.953_ID_18409
marine_gamma_proteobacterium_HTCC2080_gi_119503955_ref_NZ_	NODE_15_length_278493_cov_118.606_ID_29
marine_gamma_proteobacterium_HTCC2080_gi_119505011_ref_NZ_	NODE_42_length_159550_cov_118.665_ID_83
marine_gamma_proteobacterium_HTCC2080_gi_119505783_ref_NZ_	NODE_259_length_38586_cov_119.363_ID_517
marine_gamma_proteobacterium_HTCC2080_gi_119503401_ref_NZ_	NODE_9_length_308908_cov_118.769_ID_17
marine_gamma_proteobacterium_HTCC2080_gi_119503117_ref_NZ_	NODE_5_length_315244_cov_118.573_ID_9
marine_gamma_proteobacterium_HTCC2080_gi_119505747_ref_NZ_	NODE_226_length_41645_cov_118.582_ID_451
marine_gamma_proteobacterium_HTCC2080_gi_119505576_ref_NZ_	NODE_177_length_48841_cov_118.93_ID_353	NODE_340_length_30424_cov_129.035_ID_679
marine_gamma_proteobacterium_HTCC2080_gi_119504450_ref_NZ_	NODE_18_length_262399_cov_118.547_ID_35
marine_gamma_proteobacterium_HTCC2080_gi_119505852_ref_NZ_	NODE_296_length_33940_cov_118.502_ID_591	NODE_296_length_33940_cov_118.502_ID_591
marine_gamma_proteobacterium_HTCC2080_gi_119502701_ref_NZ_	NODE_4_length_453618_cov_119.409_ID_7	NODE_4_length_453618_cov_119.409_ID_7	NODE_1001_length_11914_cov_126.608_ID_2001
marine_gamma_proteobacterium_HTCC2080_gi_119505884_ref_NZ_	NODE_775_length_15419_cov_118.464_ID_1549
marine_gamma_proteobacterium_HTCC2080_gi_119505814_ref_NZ_	NODE_8_length_309681_cov_119.311_ID_15
